,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,VEEV,Veeva Systems I...,"24,960",amc,0.45,0.50,+0.05 ,+11.11% ,14.73%
1,PANW,Palo Alto Netwo...,"21,331",amc,1.25,1.31,+0.06 ,+4.80% ,-5.12%
2,GOOS,Canada Goose Ho...,"4,843",bmo,0.02,0.07,+0.05 ,+250.00% ,-30.86%
3,ANF,Abercrombie & F...,"1,222",bmo,-0.43,-0.29,+0.14 ,+32.56% ,-26.47%
4,BMO,Bank Of Montrea...,"48,263",bmo,1.69,1.72,+0.03 ,+1.78% ,-2.09%
5,DKS,Dick's Sporting...,"3,417",bmo,0.59,0.62,+0.03 ,+5.08% ,-5.90%
6,KEYS,Keysight Techno...,"16,457",amc,0.98,1.22,+0.24 ,+24.49% ,11.30%
7,PVH,Pvh Corp.,"6,611",amc,2.44,2.46,+0.02 ,+0.82% ,-14.87%
8,TLYS,"Tilly's, Inc.",243,amc,0.01,0.02,+0.01 ,+100.00% ,-17.87%
9,VRNT,Verint Systems...,"3,649",amc,0.62,0.73,+0.11 ,+17.74% ,-0.77%
10,SMTC,Semtech Corpora...,"3,286",amc,0.34,0.34,0.00 ,0.00% ,-7.13%
11,HMLP,Hoegh Lng Partn...,580,bmo,0.33,0.38,+0.05 ,+15.15% ,-5.64%
12,UHAL,Amerco,"7,376",amc,-0.84,0.04,+0.88 ,+104.76% ,-2.09%
13,CPRI,Capri Holdings...,"5,484",bmo,0.61,0.63,+0.02 ,+3.28% ,-9.85%
14,DSGX,The Descartes S...,"3,102",amc,0.14,0.09,-0.05 ,-35.71% ,1.11%
15,HLNE,Hamilton Lane I...,"2,945",bmo,0.36,0.36,0.00 ,0.00% ,1.20%
16,QADA,Qad Inc.,825,amc,-0.08,-0.05,+0.03 ,+37.50% ,-8.33%
17,DAKT,"Daktronics, Inc...",281,bmo,-0.09,-0.24,-0.15 ,-166.67% ,-7.04%
18,ICLK,Iclick Interact...,201,bmo,-0.05,-0.02,+0.03 ,+60.00% ,3.50%
19,RTW,Rtw Retailwinds...,112,amc,-0.04,-0.04,0.00 ,0.00% ,-0.98%
20,BWAY,Brainsway Ltd....,110,bmo,-0.13,-0.11,+0.02 ,+15.38% ,-3.46%
21,CANF,Can-fite Biopha...,4,--,-1.94,-1.20,+0.74 ,+38.14% ,--
