,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,DIS,The Walt Disney...,"256,367",amc,1.68,1.84,+0.16 ,+9.52% ,-1.79%
1,TWLO,Twilio Inc.,"17,711",amc,-0.07,-0.04,+0.03 ,+42.86% ,18.17%
2,JD,"Jd.com, Inc.","37,360",bmo,0.15,0.11,-0.04 ,-26.67% ,-4.60%
3,ETSY,"Etsy, Inc.","7,617",amc,0.05,0.10,+0.05 ,+100.00% ,-4.55%
4,ONDK,On Deck Capital...,307,bmo,0.03,0.08,+0.05 ,+166.67% ,9.17%
5,EA,Electronic Arts...,"27,766",amc,1.15,1.31,+0.16 ,+13.91% ,5.75%
6,DNR,Denbury Resourc...,563,bmo,0.08,0.12,+0.04 ,+50.00% ,-0.58%
7,GWPH,Gw Pharmaceutic...,"5,188",amc,-2.22,-3.12,-0.90 ,-40.54% ,0.19%
8,CROX,"Crocs, Inc.","1,461",bmo,0.11,0.15,+0.04 ,+36.36% ,7.00%
9,FOSL,"Fossil Group, I...",544,amc,-1.05,-0.99,+0.06 ,+5.71% ,9.06%
10,O,Realty Income C...,"22,150",amc,0.79,0.79,0.00 ,0.00% ,0.78%
11,TRIP,"Tripadvisor, In...","6,614",amc,0.16,0.30,+0.14 ,+87.50% ,22.80%
12,OXY,Occidental Petr...,"36,855",amc,0.71,0.92,+0.21 ,+29.58% ,5.37%
13,NMM,Navios Maritime...,175,bmo,0.00,0.45,--,--,-1.56%
14,CRSP,Crispr Therapeu...,"2,518",--,-0.67,-0.62,+0.05 ,+7.46% ,--
15,VSH,Vishay Intertec...,"2,364",bmo,0.37,0.40,+0.03 ,+8.11% ,8.87%
16,AAXN,Axon Enterprise...,"3,788",amc,0.04,0.32,+0.28 ,+700.00% ,22.33%
17,PBR,Petroleo Brasil...,"102,267",--,0.19,0.32,+0.13 ,+68.42% ,--
18,GNL,Global Net Leas...,"1,687",bmo,0.53,0.49,-0.04 ,-7.55% ,3.83%
19,NEWR,"New Relic, Inc....","5,316",amc,0.05,0.09,+0.04 ,+80.00% ,14.08%
20,MTCH,"Match Group, In...","20,320",amc,0.23,0.26,+0.03 ,+13.04% ,1.46%
21,ATKR,Atkore Internat...,"1,195",bmo,0.46,0.63,+0.17 ,+36.96% ,2.59%
22,PLNT,"Planet Fitness,...","7,095",amc,0.26,0.27,+0.01 ,+3.85% ,-4.82%
23,AAOI,Applied Optoele...,196,amc,0.33,0.28,-0.05 ,-15.15% ,-8.17%
24,OPK,"Opko Health, In...","1,453",amc,-0.14,-0.08,+0.06 ,+42.86% ,29.19%
