,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,CLDR,"Cloudera, Inc.","1,552",amc,-0.23,-0.13,+0.10 ,+43.48% ,-40.80%
1,FIVE,"Five Below, Inc...","7,018",amc,0.35,0.35,0.00 ,0.00% ,-1.01%
2,SFIX,"Stitch Fix, Inc...","2,714",amc,-0.03,0.07,+0.10 ,+333.33% ,14.72%
3,MDB,"Mongodb, Inc.","9,074",amc,-0.24,-0.22,+0.02 ,+8.33% ,-0.76%
4,AEO,American Eagle...,"3,138",bmo,0.21,0.24,+0.03 ,+14.29% ,0.11%
5,CMTL,Comtech Telecom...,654,amc,0.21,0.42,+0.21 ,+100.00% ,16.76%
6,CPB,Campbell Soup C...,"12,428",bmo,0.46,0.56,+0.10 ,+21.74% ,10.02%
7,GIII,G-iii Apparel G...,"1,335",bmo,0.22,0.25,+0.03 ,+13.64% ,-9.39%
8,UNFI,United Natural...,485,amc,0.51,0.61,+0.10 ,+19.61% ,-2.44%
9,SCWX,Secureworks Cor...,"1,056",bmo,-0.05,-0.02,+0.03 ,+60.00% ,-9.30%
10,AMSC,American Superc...,193,--,-0.22,-0.23,-0.01 ,-4.55% ,--
11,SMAR,Smartsheet Inc....,"5,673",amc,-0.18,-0.12,+0.06 ,+33.33% ,10.23%
12,BF.B,Brown-forman Co...,"26,565",bmo,0.29,0.33,+0.04 ,+13.79% ,4.48%
13,ABM,Abm Industries...,"2,745",amc,0.41,0.47,+0.06 ,+14.63% ,6.71%
14,ALOT,"Astronova, Inc....",172,bmo,0.22,0.23,+0.01 ,+4.55% ,-0.08%
15,ESTC,Elastic N.v.,"7,446",amc,-0.29,-0.28,+0.01 ,+3.45% ,-2.00%
16,GEF,"Greif, Inc.","1,676",amc,0.79,0.81,+0.02 ,+2.53% ,-12.42%
17,REVG,"Rev Group, Inc....",854,amc,0.26,0.24,-0.02 ,-7.69% ,-7.97%
18,VRA,"Vera Bradley, I...",389,bmo,-0.07,-0.07,0.00 ,0.00% ,1.71%
19,VISI,Volt Informatio...,96,amc,-0.34,-0.21,+0.13 ,+38.24% ,-0.46%
