,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,GOOGL,Alphabet Inc.,"786,348",amc,11.08,12.77,+1.69 ,+15.25% ,0.92%
1,GILD,Gilead Sciences...,"87,369",amc,1.70,1.44,-0.26 ,-15.29% ,-3.38%
2,ALXN,Alexion Pharmac...,"29,218",bmo,1.83,2.14,+0.31 ,+16.94% ,-2.00%
3,STX,Seagate Technol...,"13,081",amc,1.27,1.41,+0.14 ,+11.02% ,-0.92%
4,CLX,The Clorox Comp...,"19,840",bmo,1.32,1.40,+0.08 ,+6.06% ,5.69%
5,GLUU,Glu Mobile Inc....,"1,040",amc,0.07,0.05,-0.02 ,-28.57% ,-13.24%
6,CTRL,Control4 Corpor...,637,amc,0.43,0.44,+0.01 ,+2.33% ,-18.28%
7,SYY,Sysco Corporati...,"36,878",bmo,0.72,0.75,+0.03 ,+4.17% ,4.83%
8,CSWC,Capital Southwe...,373,amc,0.37,0.39,+0.02 ,+5.41% ,1.22%
9,HLIT,Harmonic Inc.,522,amc,0.05,0.11,+0.06 ,+120.00% ,-7.96%
10,LEG,Leggett & Platt...,"5,106",amc,0.57,0.62,+0.05 ,+8.77% ,9.76%
11,AEIS,Advanced Energy...,"2,114",amc,0.76,0.73,-0.03 ,-3.95% ,-4.82%
12,OLN,Olin Corporatio...,"3,584",amc,0.34,0.32,-0.02 ,-5.88% ,8.73%
13,FN,Fabrinet,"1,882",amc,0.92,0.97,+0.05 ,+5.43% ,-8.63%
14,ARE,Alexandria Real...,"16,464",amc,1.69,1.68,-0.01 ,-0.59% ,-0.91%
15,USAK,"Usa Truck, Inc....",81,amc,0.56,0.68,+0.12 ,+21.43% ,11.07%
16,CBT,Cabot Corporati...,"2,783",amc,0.90,0.87,-0.03 ,-3.33% ,-9.77%
17,BZH,Beazer Homes Us...,319,amc,0.18,0.13,-0.05 ,-27.78% ,-3.76%
18,AMG,Affiliated Mana...,"4,662",bmo,3.51,3.53,+0.02 ,+0.57% ,2.31%
19,HIG,The Hartford Fi...,"20,587",amc,0.65,0.78,+0.13 ,+20.00% ,2.48%
20,PCRFY,Panasonic Corp....,"21,201",--,0.26,0.23,-0.03 ,-11.54% ,--
21,AVB,Avalonbay Commu...,"28,978",amc,2.32,2.31,-0.01 ,-0.43% ,1.12%
22,JOUT,Johnson Outdoor...,761,bmo,0.57,0.35,-0.22 ,-38.60% ,-4.80%
23,ITUB,Itau Unibanco H...,"94,420",amc,0.18,--,--,--,-5.29%
24,LM,"Legg Mason, Inc...","3,287",amc,0.69,0.73,+0.04 ,+5.80% ,1.69%
