,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,PLAY,Dave & Buster's...,"1,494",amc,1.14,1.13,-0.01 ,-0.88% ,-22.38%
1,CHS,"Chico's Fas, In...",385,bmo,0.03,0.05,+0.02 ,+66.67% ,8.21%
2,HDS,Hd Supply Holdi...,"6,711",bmo,0.80,0.84,+0.04 ,+5.00% ,-5.81%
3,HRB,"H&r Block, Inc....","5,659",bmo,4.11,4.32,+0.21 ,+5.11% ,3.12%
4,CPST,Capstone Turbin...,54,amc,-0.04,-0.06,-0.02 ,-50.00% ,0.40%
5,JW.A,John Wiley & So...,"2,525",bmo,1.01,1.05,+0.04 ,+3.96% ,5.13%
6,AXGT,Axovant Science...,162,--,-1.66,-0.45,+1.21 ,+72.89% ,--
7,ANIX,Anixa Bioscienc...,87,--,-0.23,-0.13,+0.10 ,+43.48% ,--
8,BPMX,Biopharmx Corpo...,4,--,-0.25,-0.36,-0.11 ,-44.00% ,--
9,CBKC,Christopher & B...,4,bmo,-0.20,-0.15,+0.05 ,+25.00% ,-16.21%
